Time,Operator,Technology,MCC / MNC,gNB,RF Band,Num Beams,SCS,Bandwidth DL,Bandwidth UL,TDD Slot Pattern,SS-RSRP​ (PCell),SS-RSRQ​ (PCell),SS-SINR​ (PCell),PCI / SSB​ (PCell),UE connectivity mode,BLER,Average RBs,Average MCS Index,Average Code Rate,Net PDSCH Thp​ (PCell),Num PUSCH Carrier,Num PDSCH Carrier,Retransmission,Average RBs,Average MCS Index,Net PUSCH Thp,PUSCH TxPower,PUSCH Pathloss,RSRP​ (PCell),RSRQ​ (PCell),RSSI​ (PCell),PCI​ (PCell),Bandwidth​ (PCell),eNB,RF Band​ (PCell),BLER​ (PCell),Avg RB count​ (PCell),MCS Index​ (PCell),PUSCH Thrpt​ (PCell),PDSCH Thrpt​ (PCell),Retransmission Rate​ (PCell),TxPower​ (PCell),Lat,Long,Sats used,Accuracy,IP Thrpt UL,IP Thrpt DL,SINR Rx[0]​ (PCell),Level
2025-02-03 16:50:13.664,TUNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-03 16:50:13.664,TUNI,LTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-03 16:50:13.664,TUNI,LTE,244 / 38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-03 16:50:13.664,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-03 16:50:13.664,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-03 16:50:13.664,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-03 16:50:13.664,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,,,,,,,,,,,,,,,,,,,,,,47,5,440,Band 1 - 2100,,,,,,,,,,,,,,,
2025-02-03 16:50:18.248,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,,,,,,,,,,,,,,,,,,,-73.5,-7.0,-52.5,47,5,440,Band 1 - 2100,,,,,,,,,,,,,,14.9,
2025-02-03 16:50:18.322,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-61.2,-10.4,27.2,52/0,,,,,,,,,,,,,,,-73.5,-7.0,-52.5,47,5,440,Band 1 - 2100,,,,,,,,,,,,,,14.9,
2025-02-03 16:50:18.335,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-61.2,-10.4,27.2,52/0,,,,,,,1,,,,,,,,-73.5,-7.0,-52.5,47,5,440,Band 1 - 2100,,,,,,,,,,,,,,14.9,
2025-02-03 16:50:18.335,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-61.2,-10.4,27.2,52/0,,,,,,,1,,0.0,3,15.5,0.214,-1.6,74.9,-73.5,-7.0,-52.5,47,5,440,Band 1 - 2100,,,,,,,,,,,,,,14.9,
2025-02-03 16:50:18.379,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-61.2,-10.4,27.2,52/0,,,,,,,1,,0.0,3,13.8,0.193,-0.5,78.0,-73.5,-7.0,-52.5,47,5,440,Band 1 - 2100,,,,,,,,,,,,,,14.9,
2025-02-03 16:50:18.421,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-61.2,-10.4,27.2,52/0,,,,,,,1,,0.0,3,13.8,0.0,-0.5,78.0,-73.5,-7.0,-52.5,47,5,440,Band 1 - 2100,,,,,,,,,,,,,,14.9,
2025-02-03 16:50:18.430,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-61.2,-10.4,27.2,52/0,,,,,,,1,1,0.0,3,13.8,0.0,-0.5,78.0,-73.5,-7.0,-52.5,47,5,440,Band 1 - 2100,,,,,,,,,,,,,,14.9,
2025-02-03 16:50:18.430,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-61.2,-10.4,27.2,52/0,,0.0,16,0.0,9.98,0.001,1,1,0.0,3,13.8,0.0,-0.5,78.0,-73.5,-7.0,-52.5,47,5,440,Band 1 - 2100,,,,,,,,,,,,,,14.9,
2025-02-03 16:50:18.473,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-61.2,-10.4,27.2,52/0,,0.0,16,0.0,9.98,0.0,1,1,0.0,3,13.8,0.0,-0.5,78.0,-73.5,-7.0,-52.5,47,5,440,Band 1 - 2100,,,,,,,,,,,,,,14.9,
2025-02-03 16:50:18.482,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-59.5,-10.3,23.7,52/0,,0.0,16,0.0,9.98,0.0,1,1,0.0,3,13.8,0.0,-0.5,78.0,-73.5,-7.0,-52.5,47,5,440,Band 1 - 2100,,,,,,,,,,,,,,14.9,
2025-02-03 16:50:18.548,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-59.5,-10.3,23.7,52/0,,0.0,16,0.0,9.98,0.0,1,1,0.0,3,13.8,0.0,-0.5,78.0,-76.8,-8.2,-54.6,47,5,440,Band 1 - 2100,,,,,,,,,,,,,,14.0,
2025-02-03 16:50:18.961,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-60.9,-10.3,26.4,52/0,,0.0,16,0.0,9.98,0.0,1,1,0.0,3,13.8,0.0,-0.5,78.0,-76.8,-8.2,-54.6,47,5,440,Band 1 - 2100,,,,,,,,,,,,,,14.0,
2025-02-03 16:50:19.003,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-60.9,-10.3,26.4,52/0,,0.0,16,0.0,9.98,0.0,1,1,0.0,3,13.8,0.0,-0.5,78.0,-76.8,-8.2,-54.6,47,5,440,Band 1 - 2100,,,,,,,,,,,,0.0,,14.0,
2025-02-03 16:50:19.003,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-60.9,-10.3,26.4,52/0,,0.0,16,0.0,9.98,0.0,1,1,0.0,3,13.8,0.0,-0.5,78.0,-76.8,-8.2,-54.6,47,5,440,Band 1 - 2100,,,,,,,,,,,,0.0,0.0,14.0,
2025-02-03 16:50:19.056,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-60.9,-10.3,26.4,52/0,,0.0,16,0.0,9.98,0.0,1,1,0.0,3,13.8,0.0,-0.5,78.0,-72.6,-6.9,-51.7,47,5,440,Band 1 - 2100,,,,,,,,,,,,0.0,0.0,17.3,
2025-02-03 16:50:19.117,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-60.9,-10.3,26.4,52/0,,0.0,16,0.0,9.98,0.0,1,1,0.0,3,15.0,0.001,-0.5,78.0,-72.6,-6.9,-51.7,47,5,440,Band 1 - 2100,,,,,,,,,,,,0.0,0.0,17.3,
2025-02-03 16:50:19.117,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-60.9,-10.3,26.4,52/0,,0.0,16,0.0,9.98,0.001,1,1,0.0,3,15.0,0.001,-0.5,78.0,-72.6,-6.9,-51.7,47,5,440,Band 1 - 2100,,,,,,,,,,,,0.0,0.0,17.3,
2025-02-03 16:50:19.171,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-60.9,-10.3,26.4,52/0,,0.0,16,0.0,9.98,0.001,1,1,0.0,3,15.0,0.001,-0.5,78.0,-72.6,-6.9,-51.7,47,5,440,Band 1 - 2100,,,,,,,,61.449933,23.858996,,0,0.0,0.0,17.3,2
2025-02-03 16:50:19.285,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-60.9,-10.3,26.4,52/0,,0.0,16,0.0,9.98,0.012,1,1,0.0,3,15.0,0.001,-0.5,78.0,-72.6,-6.9,-51.7,47,5,440,Band 1 - 2100,,,,,,,,61.449933,23.858996,,0,0.0,0.0,17.3,2
2025-02-03 16:50:19.447,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-60.5,-10.3,27.0,52/0,,0.0,16,0.0,9.98,0.012,1,1,0.0,3,15.0,0.001,-0.5,78.0,-72.6,-6.9,-51.7,47,5,440,Band 1 - 2100,,,,,,,,61.449933,23.858996,,0,0.0,0.0,17.3,2
2025-02-03 16:50:19.500,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-60.5,-10.3,27.0,52/0,,0.0,16,0.0,9.98,0.012,1,1,0.0,3,15.0,0.001,-0.5,78.0,-72.6,-6.9,-51.7,47,5,440,Band 1 - 2100,,,,,,,,61.449933,23.858996,,0,0.001,0.0,17.3,2
2025-02-03 16:50:19.500,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-60.5,-10.3,27.0,52/0,,0.0,16,0.0,9.98,0.012,1,1,0.0,3,15.0,0.001,-0.5,78.0,-72.6,-6.9,-51.7,47,5,440,Band 1 - 2100,,,,,,,,61.449933,23.858996,,0,0.001,0.001,17.3,2
2025-02-03 16:50:19.560,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-60.5,-10.3,27.0,52/0,,0.0,16,0.0,9.98,0.012,1,1,0.0,3,15.0,0.001,-0.5,78.0,-71.2,-6.6,-50.6,47,5,440,Band 1 - 2100,,,,,,,,61.449933,23.858996,,0,0.001,0.001,18.0,2
2025-02-03 16:50:19.617,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-60.5,-10.3,27.0,52/0,,0.0,16,0.0,9.98,0.012,1,1,0.0,3,17.3,0.264,0.7,62.4,-71.2,-6.6,-50.6,47,5,440,Band 1 - 2100,,,,,,,,61.449933,23.858996,,0,0.001,0.001,18.0,2
2025-02-03 16:50:19.963,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-61.4,-10.3,27.9,52/0,,0.0,16,0.0,9.98,0.012,1,1,0.0,3,17.3,0.264,0.7,62.4,-71.2,-6.6,-50.6,47,5,440,Band 1 - 2100,,,,,,,,61.449933,23.858996,,0,0.001,0.001,18.0,2
2025-02-03 16:50:20.000,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-61.4,-10.3,27.9,52/0,,0.0,16,0.0,9.98,0.012,1,1,0.0,3,17.3,0.264,0.7,62.4,-71.2,-6.6,-50.6,47,5,440,Band 1 - 2100,,,,,,,,61.449933,23.858996,,0,0.0,0.001,18.0,2
2025-02-03 16:50:20.000,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-61.4,-10.3,27.9,52/0,,0.0,16,0.0,9.98,0.012,1,1,0.0,3,17.3,0.264,0.7,62.4,-71.2,-6.6,-50.6,47,5,440,Band 1 - 2100,,,,,,,,61.449933,23.858996,,0,0.0,0.0,18.0,2
2025-02-03 16:50:20.066,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-61.4,-10.3,27.9,52/0,,0.0,16,0.0,9.98,0.012,1,1,0.0,3,17.3,0.264,0.7,62.4,-72.3,-6.4,-51.9,47,5,440,Band 1 - 2100,,,,,,,,61.449933,23.858996,,0,0.0,0.0,18.4,2
2025-02-03 16:50:20.109,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-61.4,-10.3,27.9,52/0,,0.0,16,0.0,9.98,0.001,1,1,0.0,3,17.3,0.264,0.7,62.4,-72.3,-6.4,-51.9,47,5,440,Band 1 - 2100,,,,,,,,61.449933,23.858996,,0,0.0,0.0,18.4,2
2025-02-03 16:50:20.113,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-61.4,-10.3,27.9,52/0,,0.0,16,0.0,9.98,0.001,1,1,0.0,3,20.1,0.322,2.2,64.5,-72.3,-6.4,-51.9,47,5,440,Band 1 - 2100,,,,,,,,61.449933,23.858996,,0,0.0,0.0,18.4,2
2025-02-03 16:50:20.132,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-61.4,-10.3,27.9,52/0,,0.0,16,0.0,9.98,0.04,1,1,0.0,3,20.1,0.322,2.2,64.5,-72.3,-6.4,-51.9,47,5,440,Band 1 - 2100,,,,,,,,61.449933,23.858996,,0,0.0,0.0,18.4,2
2025-02-03 16:50:20.472,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-55.7,-10.4,31.6,52/0,,0.0,16,0.0,9.98,0.04,1,1,0.0,3,20.1,0.322,2.2,64.5,-72.3,-6.4,-51.9,47,5,440,Band 1 - 2100,,,,,,,,61.449933,23.858996,,0,0.0,0.0,18.4,2
2025-02-03 16:50:20.501,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-55.7,-10.4,31.6,52/0,,0.0,16,0.0,9.98,0.04,1,1,0.0,3,20.1,0.322,2.2,64.5,-72.3,-6.4,-51.9,47,5,440,Band 1 - 2100,,,,,,,,61.449933,23.858996,,0,0.001,0.0,18.4,2
2025-02-03 16:50:20.501,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-55.7,-10.4,31.6,52/0,,0.0,16,0.0,9.98,0.04,1,1,0.0,3,20.1,0.322,2.2,64.5,-72.3,-6.4,-51.9,47,5,440,Band 1 - 2100,,,,,,,,61.449933,23.858996,,0,0.001,0.001,18.4,2
2025-02-03 16:50:20.506,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-55.7,-10.4,31.6,52/0,,0.0,16,0.0,9.98,0.04,1,1,0.0,3,20.1,0.322,2.2,64.5,-72.3,-6.4,-51.9,47,5,440,Band 1 - 2100,,,,0.0,,,,61.449933,23.858996,,0,0.001,0.001,18.4,2
