Time,Operator,Technology,MCC / MNC,gNB,RF Band​ (PCell),Num Beams,SCS​ (PCell),Bandwidth DL​ (PCell),Bandwidth UL​ (PCell),TDD Slot Pattern​ (PCell),SS-RSRP​ (PCell),SS-RSRQ​ (PCell),SS-SINR​ (PCell),PCI / SSB​ (PCell),UE connectivity mode,BLER​ (PCell),Average RBs​ (PCell),Average MCS Index​ (PCell),Average Code Rate​ (PCell),Net PDSCH Thp​ (PCell),Num PUSCH Carrier,Num PDSCH Carrier,Retransmission​ (PCell),Average RBs​ (PCell),Average MCS Index​ (PCell),Net PUSCH Thp​ (PCell),PUSCH TxPower​ (PCell),PUSCH Pathloss​ (PCell),RSRP​ (PCell),RSRQ​ (PCell),RSSI​ (PCell),PCI​ (PCell),Bandwidth​ (PCell),eNB,RF Band​ (PCell),BLER​ (PCell),Avg RB count​ (PCell),MCS Index​ (PCell),PUSCH Thrpt​ (PCell),PDSCH Thrpt​ (PCell),Retransmission Rate​ (PCell),TxPower​ (PCell),Lat,Long,Sats used,Accuracy,IP Thrpt UL,IP Thrpt DL,SINR Rx[0]​ (PCell),Level
2025-02-03 16:57:52.174,TUNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-03 16:57:52.174,TUNI,LTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-03 16:57:52.174,TUNI,LTE,244 / 38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-03 16:57:52.174,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-03 16:57:52.174,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-03 16:57:52.174,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-03 16:57:52.174,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,,,,,,,,,,,,,,,,,,,,,,42,5,440,Band 3 - 1800,,,,,,,,,,,,,,,
2025-02-03 16:57:56.921,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-70.7,-10.4,29.1,52/0,,,,,,,,,,,,,,,,,,42,5,440,Band 3 - 1800,,,,,,,,,,,,,,,
2025-02-03 16:57:56.937,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-70.7,-10.4,29.1,52/0,,,,,,,,,,,,,,,-88.0,-10.4,-61.9,42,5,440,Band 3 - 1800,,,,,,,,,,,,,,5.0,
2025-02-03 16:57:56.952,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-70.7,-10.4,29.1,52/0,,,,,,,1,,,,,,,,-88.0,-10.4,-61.9,42,5,440,Band 3 - 1800,,,,,,,,,,,,,,5.0,
2025-02-03 16:57:56.952,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-70.7,-10.4,29.1,52/0,,,,,,,1,,0.0,3,19.7,0.307,6.9,75.5,-88.0,-10.4,-61.9,42,5,440,Band 3 - 1800,,,,,,,,,,,,,,5.0,
2025-02-03 16:57:57.041,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-69.8,-10.4,28.8,52/0,,,,,,,1,,0.0,3,19.7,0.307,6.9,75.5,-88.0,-10.4,-61.9,42,5,440,Band 3 - 1800,,,,,,,,,,,,,,5.0,
2025-02-03 16:57:57.045,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-69.8,-10.4,28.8,52/0,,,,,,,1,,0.0,3,19.5,0.286,5.1,73.5,-88.0,-10.4,-61.9,42,5,440,Band 3 - 1800,,,,,,,,,,,,,,5.0,
2025-02-03 16:57:57.053,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-69.8,-10.4,28.8,52/0,,,,,,,1,,0.0,3,19.5,0.0,5.1,73.5,-88.0,-10.4,-61.9,42,5,440,Band 3 - 1800,,,,,,,,,,,,,,5.0,
2025-02-03 16:57:57.070,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-69.8,-10.4,28.8,52/0,,,,,,,1,,0.0,3,19.5,0.0,5.1,73.5,-86.6,-11.9,-60.8,42,5,440,Band 3 - 1800,,,,,,,,,,,,,,5.2,
2025-02-03 16:57:57.240,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-69.8,-10.4,28.8,52/0,,,,,,,1,,0.0,3,19.5,0.0,5.1,73.5,-85.9,-11.0,-60.7,42,5,440,Band 3 - 1800,,,,,,,,,,,,,,5.9,
2025-02-03 16:57:57.325,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-69.8,-10.4,28.8,52/0,,,,,,,1,,0.0,3,19.5,0.0,5.1,73.5,-85.9,-11.0,-60.7,42,5,440,Band 3 - 1800,,,,0.0,,,,,,,,,,5.9,
2025-02-03 16:57:57.401,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-69.8,-10.4,28.8,52/0,,,,,,,1,,0.0,3,19.5,0.0,5.1,73.5,-85.9,-11.0,-60.7,42,5,440,Band 3 - 1800,,,,0.029,,0.0,13.0,,,,,,,5.9,
2025-02-03 16:57:57.468,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-66.6,-10.4,28.4,52/0,,,,,,,1,,0.0,3,19.5,0.0,5.1,73.5,-85.9,-11.0,-60.7,42,5,440,Band 3 - 1800,,,,0.029,,0.0,13.0,,,,,,,5.9,
2025-02-03 16:57:57.502,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-66.6,-10.4,28.4,52/0,,,,,,,1,,0.0,3,19.5,0.0,5.1,73.5,-85.9,-11.0,-60.7,42,5,440,Band 3 - 1800,,,,0.029,,0.0,13.0,,,,,0.0,,5.9,
2025-02-03 16:57:57.502,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-66.6,-10.4,28.4,52/0,,,,,,,1,,0.0,3,19.5,0.0,5.1,73.5,-85.9,-11.0,-60.7,42,5,440,Band 3 - 1800,,,,0.029,,0.0,13.0,,,,,0.0,0.0,5.9,
2025-02-03 16:57:57.572,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-66.6,-10.4,28.4,52/0,,,,,,,1,1,0.0,3,19.5,0.0,5.1,73.5,-85.9,-11.0,-60.7,42,5,440,Band 3 - 1800,,,,0.029,,0.0,13.0,,,,,0.0,0.0,5.9,
2025-02-03 16:57:57.572,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-66.6,-10.4,28.4,52/0,,0.0,,,,0.0,1,1,0.0,3,19.5,0.0,5.1,73.5,-85.9,-11.0,-60.7,42,5,440,Band 3 - 1800,,,,0.029,,0.0,13.0,,,,,0.0,0.0,5.9,
2025-02-03 16:57:57.602,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-66.6,-10.4,28.4,52/0,,0.0,,,,0.0,1,1,0.0,3,19.0,0.002,9.0,73.0,-85.9,-11.0,-60.7,42,5,440,Band 3 - 1800,,,,0.029,,0.0,13.0,,,,,0.0,0.0,5.9,
2025-02-03 16:57:57.602,TUNI,LTE,244 / 38,,n78 - 3500 (TDD),,30.0,58.32,58.32,D3-d10f2u2-U1,-66.6,-10.4,28.4,52/0,,0.0,16,0.0,9.98,0.032,1,1,0.0,3,19.0,0.002,9.0,73.0,-85.9,-11.0,-60.7,42,5,440,Band 3 - 1800,,,,0.029,,0.0,13.0,,,,,0.0,0.0,5.9,
